Year,Age,E_F,E_M,E_Tot,D_F,D_M,D_Tot,m_F,m_M,m_Tot
1816,81,16298.43,15230.95,31529.38,2921.55,2783.2,5704.75,0.1792534618365082,0.1827331847324034,0.18093441735930108
1816,82,13603.24,12743.64,26346.88,2684.99,2547.61,5232.6,0.1973787127184406,0.19991226996368386,0.19860416109991014
1816,83,11138.97,10463.43,21602.4,2383.57,2255.8,4639.37,0.2139847759712074,0.2155889607901042,0.21476178572751173
1816,84,8942.94,8411.58,17354.53,2017.3,1907.78,3925.08,0.22557458732810462,0.2268040011507945,0.22617034284420265
1816,85,7075.39,6648.09,13723.47,1608.56,1523.86,3132.42,0.22734577175251114,0.22921771516330253,0.22825276697511637
1816,86,5563.42,5214.16,10777.58,1246.99,1185.17,2432.16,0.22414090613327772,0.22729835678230054,0.22566847102967455
1816,87,4358.61,4073.3,8431.9,955.0,912.01,1867.01,0.21910655002397555,0.22389954091277342,0.22142221800543177
1816,88,3426.73,3195.07,6621.8,732.56,704.38,1436.94,0.21377815001473707,0.22045839371281378,0.2170014195535957
1816,89,2722.22,2534.8,5257.02,579.7,562.28,1141.98,0.2129511942458729,0.22182420703803057,0.2172295330814796
1816,90,2167.19,2022.06,4189.25,486.07,475.73,961.8,0.22428582634655936,0.23526997220656165,0.22958763501820134
1816,91,1711.86,1610.46,3322.32,410.35,404.88,815.23,0.23971002301590086,0.2514064304608621,0.24537973464326132
1816,92,1332.72,1266.69,2599.4,342.2,339.76,681.96,0.2567681133321328,0.2682266379303539,0.26235285065784414
1816,93,1014.92,978.5,1993.41,281.64,280.36,562.0,0.27749970441019983,0.2865201839550332,0.2819289559097225
1816,94,749.69,743.01,1492.7,228.65,226.7,455.35,0.3049927303285358,0.30511029461245476,0.3050512494138139
1816,95,537.18,546.9,1084.08,182.89,178.93,361.82,0.3404631594623776,0.3271713293106601,0.33375765626153053
1816,96,378.87,390.0,768.87,142.97,137.78,280.75,0.37735898857127775,0.3532820512820513,0.36514625359293507
1816,97,264.27,273.97,538.24,108.54,103.42,211.96,0.4107163128618459,0.37748658612256814,0.39380202140309156
1816,98,181.48,186.07,367.55,79.62,75.83,155.45,0.4387260304165749,0.40753479873166015,0.42293565501292335
1817,0,416591.2,436605.85,853197.06,75706.0,95159.99,170865.99,0.1817273144511934,0.21795399672267335,0.20026556350299657
1817,1,387489.14,402907.48,790396.62,21020.15,21718.92,42739.07,0.05424706870494487,0.05390547725745871,0.05407294125321538
1817,2,361599.31,376447.75,738047.05,14067.75,14531.41,28599.16,0.038904250121494975,0.03860139953021369,0.03874977889282261
1817,3,336540.06,347218.58,683758.64,9103.3,9406.31,18509.61,0.02704967723604732,0.02709045696805741,0.027070385538382376
1817,4,325218.88,335346.63,660565.51,6126.81,6343.65,12470.46,0.018839035421313793,0.01891669524157735,0.018878460669252924
1817,5,316768.63,326418.95,643187.57,4829.09,5021.07,9850.16,0.015244849213762108,0.01538228708841812,0.015314599441030866
1817,6,308912.62,322161.17,631073.79,3973.49,4149.19,8122.68,0.012862828329901186,0.012879236811810683,0.01287120480791953
1817,7,302555.43,318636.46,621191.88,3250.85,3405.67,6656.52,0.010744642725466868,0.010688262102836568,0.010715722813376119
1817,8,298052.58,313643.71,611696.3,2661.15,2790.5,5451.65,0.008928458193517399,0.008897037979814738,0.008912347516242945
1817,9,294246.16,309382.59,603628.75,2204.4,2303.7,4508.1,0.0074916865525110005,0.00744612035215039,0.007468332149520712
1817,10,289797.47,304448.07,594245.54,1875.4,1940.35,3815.75,0.006471416054805448,0.006373336510229807,0.006421167250157233
1817,11,287394.66,295307.44,582702.1,1653.25,1680.82,3334.07,0.005752542514185894,0.005691763133363656,0.005721740148182065
1817,12,287495.76,289110.49,576606.25,1532.75,1520.2,3052.95,0.005331382974134992,0.005258197307195599,0.005294687665976565
1817,13,285110.67,286693.24,571803.9,1513.9,1458.5,2972.4,0.005309867919008433,0.005087319115023431,0.00519828563603711
1817,14,282614.24,284290.46,566904.7,1596.71,1495.72,3092.43,0.005649786082965954,0.00526123880484769,0.005454938016918893
1817,15,280306.77,282260.51,562567.27,1760.14,1618.14,3378.28,0.006279334601872084,0.00573278918825733,0.006005112952980717
1817,16,284893.54,281721.83,566615.36,1920.08,1770.94,3691.02,0.006739640358289627,0.0062861298323953095,0.006514154505094956
1817,17,289123.99,280910.14,570034.13,2055.51,1940.4,3995.91,0.007109441177814405,0.006907547018416637,0.007009948685002422
1817,18,284673.37,276963.97,561637.34,2166.44,2126.55,4292.99,0.007610265758261829,0.007678074516335105,0.007643704743705253
1817,19,277602.69,270301.03,547903.72,2252.85,2329.36,4582.21,0.008115375250866625,0.008617651216497399,0.008363166433693862
1817,20,268905.59,261746.36,530651.95,2313.8,2529.79,4843.59,0.008604506882880345,0.00966504367052134,0.009127621221405105
1817,21,275880.86,252500.54,528381.4,2345.55,2651.73,4997.28,0.008502039612316709,0.010501878530636014,0.009457713689391791
1817,22,279729.94,241024.49,520754.44,2347.15,2676.12,5023.27,0.008390771470511881,0.011103104087057709,0.009646139550917704
1817,23,265891.89,228433.2,494325.09,2318.6,2602.97,4921.57,0.008720085445253708,0.011394884806586783,0.009956140401451197
1817,24,254426.08,217916.82,472342.89,2259.9,2432.27,4692.17,0.008882344137047587,0.011161460597672083,0.009933821593038057
1817,25,244577.09,208918.9,453496.0,2180.6,2191.11,4371.71,0.008915798286748771,0.01048784959139647,0.009640018875579939
1817,26,240523.09,200868.16,441391.24,2118.92,1987.79,4106.71,0.008809632372509434,0.009895993471538744,0.009304013373713534
1817,27,239690.62,195678.33,435368.95,2084.42,1849.38,3933.8,0.008696293580449665,0.00945112317751281,0.009035554786348453
1817,28,238069.95,194254.05,432324.0,2077.11,1775.9,3853.01,0.008724788659803558,0.009142151733773377,0.008912320389337628
1817,29,237364.98,193648.18,431013.16,2096.96,1767.34,3864.3,0.008834327624909117,0.00912655104736848,0.008965619518438835
1817,30,238557.42,194643.92,433201.34,2138.5,1811.4,3949.9,0.008964298825834048,0.009306224412249814,0.009117931167987614
1817,31,230997.88,198275.72,429273.6,2179.74,1858.93,4038.67,0.009436190496640054,0.009375479761213324,0.00940814902197573
1817,32,220872.16,199639.53,420511.69,2215.19,1897.63,4112.82,0.010029285718942578,0.009505281844732856,0.009780512879439807
1817,33,219507.14,198469.59,417976.73,2244.85,1927.5,4172.35,0.01022677440014024,0.009711815296237575,0.009982254275255946
1817,34,217768.37,196977.32,414745.69,2268.71,1948.54,4217.25,0.010417995965162434,0.009892204848761268,0.010168279265301105
1817,35,215119.33,194679.66,409798.99,2288.59,1963.13,4251.72,0.010638699925292629,0.010083898852093742,0.010375135380397107
1817,36,211283.47,191920.06,403203.53,2311.67,1980.72,4292.39,0.010941083086149618,0.010320547002746873,0.010645715328930777
1817,37,207714.58,189463.87,397178.45,2339.78,2003.71,4343.49,0.011264399446586755,0.010575683902160344,0.010935865226323331
1817,38,203742.16,185931.98,389674.14,2372.91,2032.06,4404.97,0.011646632194338176,0.010929050505459038,0.011304239999092575
1817,39,198704.94,181395.77,380100.71,2411.05,2065.81,4476.86,0.012133820125458382,0.011388413302030142,0.01177808902277504
1817,40,192652.98,175895.05,368548.03,2452.08,2103.55,4555.63,0.012727962993357277,0.011959119941123985,0.012361021167308911
1817,41,193179.09,169279.77,362458.86,2487.49,2139.71,4627.2,0.012876600671428776,0.01264008097364499,0.012766138479826373
1817,42,192979.88,162323.77,355303.66,2515.15,2172.9,4688.05,0.01303322398169177,0.013386209548977332,0.013194488342731962
1817,43,185843.75,156226.92,342070.68,2535.06,2203.12,4738.18,0.013640813855725575,0.014102051042163537,0.013851464849311261
1817,44,180553.77,151715.35,332269.12,2547.22,2230.37,4777.59,0.01410781951548284,0.014701017398700921,0.014378675935940121
1817,45,176761.15,148528.43,325289.58,2557.47,2261.62,4819.09,0.01446850736148752,0.015226849162816842,0.014814769043631831
1817,46,171810.48,145560.1,317370.58,2589.15,2324.73,4913.88,0.015069802494003857,0.01597092884657265,0.015483098653945806
1817,47,168663.8,144080.83,312744.62,2648.12,2426.69,5074.81,0.015700583053387864,0.016842559832560656,0.016226690006689803
1817,48,168689.19,144271.27,312960.46,2734.37,2567.48,5301.85,0.016209515262951942,0.01779619739952383,0.01694095797277394
1817,49,168102.37,143948.08,312050.46,2847.9,2747.09,5594.99,0.01694146251477597,0.01908389469314214,0.017929760462458536
1817,50,166948.01,143132.39,310080.4,2977.2,2951.18,5928.38,0.01783309666284731,0.020618533652655417,0.01911884788590314
1817,51,160675.89,142339.13,303015.03,3076.25,3122.23,6198.48,0.019145685142929657,0.021935148823798486,0.020456015003612195
1817,52,153701.51,140741.83,294443.34,3133.56,3245.88,6379.44,0.02038730784102251,0.023062653086150724,0.021666103909838814
1817,53,150836.21,138212.97,289049.17,3149.09,3322.12,6471.21,0.02087754657850393,0.024036239146007787,0.02238792105855208
1817,54,148085.2,135718.61,283803.81,3122.89,3350.95,6473.84,0.02108846799004897,0.024690423811443398,0.022810969310101934
1817,55,145179.25,132994.84,278174.09,3078.52,3352.13,6430.65,0.021204958697610025,0.025204962839159777,0.023117357910652277
1817,56,139326.45,129537.34,268863.79,3110.4,3404.63,6515.03,0.022324547851466824,0.02628300071624136,0.024231712273341085
1817,57,134054.58,126522.36,260576.94,3242.15,3528.21,6770.36,0.02418529825687418,0.027886059033359795,0.02598219167052925
1817,58,131190.07,123583.24,254773.31,3473.75,3722.87,7196.62,0.026478757119345997,0.030124392271961793,0.028247150378507075
1817,59,127634.07,120030.15,247664.22,3805.19,3988.58,7793.77,0.029813277912394392,0.03322981767497583,0.03146909957360817
1817,60,123264.97,115774.94,239039.91,4197.47,4296.46,8493.93,0.0340524157025309,0.03711044894516896,0.035533522414729825
1817,61,117198.2,110339.66,227537.86,4494.45,4530.78,9025.23,0.03834913846799695,0.04106211674025459,0.039664739749244365
1817,62,111420.39,105199.5,216619.89,4657.12,4662.63,9319.75,0.041797735585021735,0.04432178860165685,0.04302351921607937
1817,63,106071.77,100143.95,206215.72,4685.46,4692.0,9377.46,0.04417254468366088,0.04685255574600363,0.045474030786789674
1817,64,100277.16,94641.66,194918.82,4579.5,4618.89,9198.39,0.04566842539218302,0.048803983362083886,0.047190876694205304
1817,65,94182.02,88797.87,182979.89,4374.68,4468.97,8843.65,0.046449205485293264,0.05032744591734014,0.048331267441465826
1817,66,88148.84,82867.7,171016.54,4212.92,4344.94,8557.86,0.04779325513529163,0.052432250442572916,0.050041124677180346
