Year,Age,E_F,E_H,E_Tot,D_F,D_H,D_Tot,m_F,m_H,m_Tot
2001,8,352098.34,369594.02,721692.36,31,44,75,8.804358464172254e-05,0.00011904954522803155,0.00010392239707234812
2001,9,365740.96,384303.04,750044.0,27,49,76,7.382274055386085e-05,0.00012750354511897695,0.0001013273887931908
2001,10,370825.87,390221.36,761047.22,42,48,90,0.00011326070643345352,0.00012300710550544952,0.0001182581023027717
2001,11,375635.71,394643.78,770279.48,35,52,87,9.317537994457449e-05,0.00013176439775637664,0.00011294601798297938
2001,12,379489.63,398190.61,777680.24,50,77,127,0.00013175590595189648,0.00019337472573750547,0.000163306193815597
2001,13,380053.12,399076.93,779130.05,44,73,117,0.00011577328979696312,0.00018292212481438102,0.00015016748487624111
2001,14,383955.58,401870.65,785826.23,69,118,187,0.00017970828813062176,0.0002936268174846807,0.00023796609588865467
2001,15,384719.53,401433.57,786153.1,80,151,231,0.0002079436934225824,0.00037615189980250033,0.0002938358953236971
2001,16,380999.2,395818.0,776817.2,93,205,298,0.00024409500072441096,0.0005179147992259069,0.0003836166346471216
2001,17,371504.1,385442.83,756946.92,99,237,336,0.00026648427298648925,0.0006148771790618079,0.00044388845653800925
2001,18,381549.18,395003.04,776552.22,134,386,520,0.0003511998112536895,0.000977207669085281,0.0006696265706380957
2001,19,396358.46,409124.3,805482.77,160,450,610,0.0004036749966179604,0.0010999102228833634,0.000757309805646122
2001,20,399517.48,408170.27,807687.75,155,432,587,0.00038796800580540307,0.0010583818365801116,0.0007267660057986518
2001,21,387317.64,392022.06,779339.7,134,401,535,0.0003459692669820047,0.0010229016193629512,0.0006864785664069212
2001,22,369126.53,371680.62,740807.15,116,417,533,0.000314255385544897,0.0011219309739636143,0.0007194854963265406
2001,23,369302.93,371240.4,740543.33,124,363,487,0.00033576771243055124,0.0009778030623822191,0.000657625260091128
2001,24,364122.68,364930.17,729052.85,125,379,504,0.0003432908930583506,0.0010385548555768903,0.0006913079072388236
2001,25,360088.11,359279.96,719368.07,139,409,548,0.0003860166335400522,0.00113838801362592,0.0007617797103505026
2001,26,384216.46,382720.07,766936.53,117,402,519,0.00030451584505255185,0.001050376062065415,0.0006767183198328028
2001,27,404532.12,402828.82,807360.95,159,469,628,0.0003930466633897946,0.0011642662508606013,0.0007778429214343349
2001,28,428702.7,426683.49,855386.2,185,456,641,0.00043153448765309853,0.0010687078611830048,0.0007493691153773582
2001,29,432675.25,430668.24,863343.5,169,485,654,0.0003905931758287538,0.0011261568765785933,0.000757520036926206
2001,30,432081.27,430421.2,862502.47,173,517,690,0.00040038764003818075,0.001201149014035554,0.0007999977089920682
2001,31,422667.7,420739.67,843407.37,183,493,676,0.00043296424117575107,0.0011717459397161195,0.0008015106626350681
2001,32,423679.46,420349.21,844028.67,227,497,724,0.0005357824049341452,0.001182350265390055,0.0008577907667520346
2001,33,424171.44,420263.6,844435.04,260,569,829,0.0006129597032746948,0.0013539121636991641,0.0009817214595926763
2001,34,430455.28,426357.58,856812.87,250,608,858,0.000580780423926964,0.0014260330495355564,0.0010013855184038028
2001,35,439633.94,434843.99,874477.94,320,686,1006,0.000727878288923735,0.0015775772823720066,0.0011504006607645242
2001,36,445643.62,439050.13,884693.75,341,731,1072,0.0007651854187882236,0.0016649579399965102,0.0012117187444807879
2001,37,448385.2,439775.31,888160.52,380,800,1180,0.0008474855994354853,0.0018191107636306367,0.0013285886654813253
2001,38,440764.06,431332.83,872096.89,435,896,1331,0.0009869225725890626,0.0020772821767357703,0.0015262065663369125
2001,39,433842.98,424672.88,858515.86,452,914,1366,0.001041851593403678,0.0021522448054606172,0.00159111795558442
2001,40,437553.32,427768.48,865321.8,489,1005,1494,0.0011175780816838506,0.0023494017137494563,0.0017265253227180916
2001,41,435655.48,424630.45,860285.93,525,1174,1699,0.0012050806752161136,0.0027647569786858196,0.001974924778788373
2001,42,435862.85,423242.14,859104.99,562,1234,1796,0.0012893964236685921,0.00291558869823312,0.0020905477455089626
2001,43,429097.7,416377.5,845475.21,689,1301,1990,0.0016056949268196963,0.0031245684505046504,0.0023537059117321726
2001,44,429335.76,416606.78,845942.55,700,1503,2203,0.0016304255671598378,0.0036077185301689038,0.002604195757737922
2001,45,427467.03,413453.36,840920.39,797,1721,2518,0.001864471278638729,0.00416250094085582,0.0029943381441850875
2001,46,427850.77,414607.96,842458.73,827,1882,2709,0.0019329169373704762,0.004539227852740695,0.0032155877831546715
2001,47,423616.94,412208.06,835825.0,887,1941,2828,0.0020938728276541536,0.004708787111052608,0.003383483384679807
2001,48,424152.97,413353.08,837506.05,922,2158,3080,0.002173744062195297,0.0052207183263277,0.003677585373860881
2001,49,422862.87,413579.87,836442.74,1005,2201,3206,0.002376656999939484,0.005321825745532538,0.0038328983523725725
2001,50,425781.19,418851.1,844632.3,1094,2396,3490,0.002569394857485367,0.005720409949979838,0.004131975535389778
2001,51,432802.25,426908.07,859710.33,1047,2702,3749,0.0024191186621603748,0.006329231490048899,0.004360771144857594
2001,52,430481.49,426320.65,856802.14,1198,2787,3985,0.0027829303415577754,0.006537332873741865,0.0046510154608157255
2001,53,424047.41,421125.81,845173.22,1278,3037,4315,0.0030138139506617908,0.007211621629175376,0.005105462286180814
2001,54,414801.86,410544.43,825346.29,1266,3083,4349,0.003052059602625697,0.0075095404412136345,0.0052693033853705214
2001,55,355503.34,350959.74,706463.08,1207,2850,4057,0.0033951861042993293,0.008120589558221123,0.005742692172958281
2001,56,303221.8,298123.15,601344.95,1115,2604,3719,0.003677176245243581,0.008734645397380243,0.006184470327721219
2001,57,301216.6,294941.43,596158.03,1195,2769,3964,0.003967244833120088,0.00938830465424949,0.006649243657759671
2001,58,285913.84,280102.55,566016.38,1208,2778,3986,0.004225049056736812,0.009917796178578167,0.00704219902611299
2001,59,267260.71,260462.33,527723.04,1204,2749,3953,0.004504964459609495,0.010554309331410805,0.007490671621993233
2001,60,243117.2,233919.63,477036.83,1112,2705,3817,0.00457392566219091,0.01156380078063564,0.008001478627970926
2001,61,279035.55,263141.7,542177.25,1400,3328,4728,0.0050172818481372715,0.012647178307353034,0.008720395405746
2001,62,279006.82,258467.57,537474.39,1565,3459,5024,0.005609181883080851,0.013382723410909925,0.009347422116242598
2001,63,279637.5,255901.21,535538.71,1636,3649,5285,0.005850431362031201,0.014259408933627161,0.009868567670859871
2001,64,281354.85,253820.52,535175.37,1804,4046,5850,0.0064118318912931484,0.01594039756911695,0.010930996319953963
2001,65,283032.89,250314.51,533347.4,1978,4277,6255,0.006988587086115681,0.01708650449388651,0.01172781567886147
2001,66,288490.24,250283.86,538774.1,2175,4747,6922,0.007539249854691792,0.018966464717301387,0.012847685142994067
2001,67,289271.2,247010.17,536281.37,2413,5015,7428,0.008341653092323051,0.020302807775080676,0.013850937988019237
2001,68,291860.02,244484.95,536344.97,2632,5473,8105,0.009018021721508824,0.02238583601976318,0.015111542856456732
2001,69,296939.07,243213.31,540152.38,2960,5970,8930,0.009968374993563494,0.024546353980380433,0.016532371846625947
2001,70,297682.26,238396.33,536078.6,3337,6197,9534,0.011209939080682872,0.025994527684213932,0.01778470545177517
2001,71,287658.49,226008.81,513667.3,3673,6679,10352,0.01276861322605149,0.029551945342307675,0.020153122458836683
2001,72,280468.77,215390.76,495859.53,3842,7029,10871,0.013698494844898417,0.032633711863962966,0.021923547582114636
2001,73,276969.94,206979.11,483949.05,4365,7109,11474,0.015759832998483516,0.034346461340953684,0.023709107394673055
2001,74,270916.33,197202.16,468118.48,4845,7516,12361,0.0178837503077057,0.038113172796890256,0.02640570823010448
2001,75,265906.11,187706.37,453612.47,5295,7795,13090,0.019913043743146782,0.04152762636664915,0.028857231371968238
2001,76,260814.92,177919.83,438734.75,5714,8121,13835,0.02190825586204961,0.04564415332456197,0.03153385958144414
2001,77,250726.55,166137.48,416864.03,6340,8512,14852,0.02528651233784376,0.05123467624523978,0.0356279240499594
2001,78,244154.42,157506.66,401661.08,6913,8807,15720,0.02831404813396374,0.055915095907690504,0.03913747381249883
2001,79,242718.89,152166.26,394885.15,8073,9230,17303,0.03326069923935463,0.060657336258379484,0.04381780373356658
